state,metro,code
Mississippi (MS),Hattiesburg-Laurel MS,710
Mississippi (MS),Jackson MS,718
Mississippi (MS),Meridian MS,711
Montana (MT),Billings MT,756
Montana (MT),Butte-Bozeman MT,754
Montana (MT),Glendive MT,798
Montana (MT),Great Falls MT,755
Montana (MT),Helena MT,766
Montana (MT),Missoula MT,762
North Carolina (NC),Charlotte NC,517
North Carolina (NC),Greensboro-High Point-Winston Salem NC,518
North Carolina (NC),Greenville-New Bern-Washington NC,545
North Carolina (NC),Greenville-Spartanburg SC-Asheville NC-Anderson SC,567
North Carolina (NC),Raleigh-Durham (Fayetteville) NC,560
North Carolina (NC),Wilmington NC,550
North Dakota (ND),Fargo-Valley City ND,724
North Dakota (ND),Minot-Bismarck-Dickinson(Williston) ND,687
Nebraska (NE),Cheyenne WY-Scottsbluff NE,759
Nebraska (NE),Lincoln & Hastings-Kearney NE,722
Nebraska (NE),North Platte NE,740
Nebraska (NE),Omaha NE,652
New Hampshire (NH),Boston MA-Manchester NH,506
New Mexico (NM),Albuquerque-Santa Fe NM,790
Nevada (NV),Las Vegas NV,839
Nevada (NV),Reno NV,811
New York (NY),Albany-Schenectady-Troy NY,532
New York (NY),Binghamton NY,502
New York (NY),Buffalo NY,514
New York (NY),Burlington VT-Plattsburgh NY,523
New York (NY),Elmira NY,565
New York (NY),New York NY,501
New York (NY),Rochester NY,538
New York (NY),Syracuse NY,555
New York (NY),Utica NY,526
New York (NY),Watertown NY,549
Ohio (OH),Cincinnati OH,515
Ohio (OH),Cleveland-Akron (Canton) OH,510
Ohio (OH),Columbus OH,535
Ohio (OH),Dayton OH,542
Ohio (OH),Lima OH,558
Ohio (OH),Toledo OH,547
Ohio (OH),Wheeling WV-Steubenville OH,554
Ohio (OH),Youngstown OH,536
Ohio (OH),Zanesville OH,596
Oklahoma (OK),Oklahoma City OK,650
Oklahoma (OK),Sherman TX-Ada OK,657
Oklahoma (OK),Tulsa OK,671
Oklahoma (OK),Wichita Falls TX & Lawton OK,627
Oregon (OR),Bend OR,821
Oregon (OR),Eugene OR,801
Oregon (OR),Medford-Klamath Falls OR,813
Oregon (OR),Portland OR,820
Pennsylvania (PA),Erie PA,516
Pennsylvania (PA),Harrisburg-Lancaster-Lebanon-York PA,566
Pennsylvania (PA),Johnstown-Altoona PA,574
Pennsylvania (PA),Philadelphia PA,504
Pennsylvania (PA),Pittsburgh PA,508
Pennsylvania (PA),Wilkes Barre-Scranton PA,577
Rhode Island (RI),Providence RI-New Bedford MA,521
South Carolina (SC),Charleston SC,519
South Carolina (SC),Columbia SC,546
South Carolina (SC),Florence-Myrtle Beach SC,570
South Carolina (SC),Greenville-Spartanburg SC-Asheville NC-Anderson SC,567
South Dakota (SD),Rapid City SD,764
South Dakota (SD),Sioux Falls(Mitchell) SD,725
Tennessee (TN),Chattanooga TN,575
Tennessee (TN),Jackson TN,639
Tennessee (TN),Knoxville TN,557
Tennessee (TN),Memphis TN,640
Tennessee (TN),Nashville TN,659
Tennessee (TN),Tri-Cities TN-VA,531
Texas (TX),Abilene-Sweetwater TX,662
Texas (TX),Amarillo TX,634
Texas (TX),Austin TX,635
Texas (TX),Beaumont-Port Arthur TX,692
Texas (TX),Corpus Christi TX,600
Texas (TX),Dallas-Ft. Worth TX,623
Texas (TX),El Paso TX,765
Texas (TX),Harlingen-Weslaco-Brownsville-McAllen TX,636
Texas (TX),Houston TX,618
Texas (TX),Laredo TX,749
Texas (TX),Lubbock TX,651
Texas (TX),Odessa-Midland TX,633
Texas (TX),San Angelo TX,661
Texas (TX),San Antonio TX,641
Texas (TX),Sherman TX-Ada OK,657
Texas (TX),Tyler-Longview(Lufkin & Nacogdoches) TX,709
Texas (TX),Victoria TX,626
Texas (TX),Waco-Temple-Bryan TX,625
Texas (TX),Wichita Falls TX & Lawton OK,627
Utah (UT),Salt Lake City UT,770
Virginia (VA),Charlottesville VA,584
Virginia (VA),Harrisonburg VA,569
Virginia (VA),Norfolk-Portsmouth-Newport News VA,544
Virginia (VA),Richmond-Petersburg VA,556
Virginia (VA),Roanoke-Lynchburg VA,573
Virginia (VA),Tri-Cities TN-VA,531
Vermont (VT),Burlington VT-Plattsburgh NY,523
Washington (WA),Seattle-Tacoma WA,819
Washington (WA),Spokane WA,881
Washington (WA),Yakima-Pasco-Richland-Kennewick WA,810
Wisconsin (WI),Duluth MN-Superior WI,676
Wisconsin (WI),Green Bay-Appleton WI,658
Wisconsin (WI),La Crosse-Eau Claire WI,702
Wisconsin (WI),Madison WI,669
Wisconsin (WI),Milwaukee WI,617
Wisconsin (WI),Wausau-Rhinelander WI,705
West Virginia (WV),Bluefield-Beckley-Oak Hill WV,559
West Virginia (WV),Charleston-Huntington WV,564
West Virginia (WV),Clarksburg-Weston WV,598
West Virginia (WV),Parkersburg WV,597
West Virginia (WV),Wheeling WV-Steubenville OH,554
Wyoming (WY),Casper-Riverton WY,767
Wyoming (WY),Cheyenne WY-Scottsbluff NE,759
