code,description
61611,You can no longer access the updated version of this creative as the same version of it was deleted from DoubleClick Studio.
61614,The length of the Custom Script URL cannot exceed 1024 characters.
61615,Custom Script URL must start with http:// or https://.
63000,The Rich Media feature has not been enabled for this network. Contact Customer Support or go to http://help.doubleclick.com to log a support case.
63001,Advertiser not found.
63002,Advertiser is missing.
63003,The Rich Media Flash-in-Flash feature has not been enabled for this network. Contact Customer Support or go to http://help.doubleclick.com to log a support case.
63500,The change log record cannot be null.
63501,The criteria for searching change logs is not valid. It must specify object IDs.
63502,The given change log is not valid.
63503,The change log record could not be found.
63504,The length of the comments is too long. Please enter up to 4000 characters.
63505,You are not authorized to access this change log record.
64000,Company name is missing.
64001,Please select an admin user for this company.
64002,Company name already exists.
64003,Only a super user can impersonate a company.
64004,Invalid company ID.
64005,You don't have permission to view this company.
64006,You don't have permission to save or modify this company.
64007,You don't have permission to delete this company.
64008,You can't delete this entity because it has child elements.
64009,Only a super user impersonating another user can access this service.
64010,You don't have permission to query multiple companies.
64011,You aren't authorized to access this company.
64012,Required API company object is missing.
64013,No QA region with this ID exists.
64014,Unlink QA Vendor Enabled Clients before removing QA Vendor status.
64015,Unlink QA Vendor associated clients before removing QA Vendor enabled status
64016,You can't remove trafficking permission from this Company because there are Trafficking Enabled Clients present in this Company
64017,This company can't be assigned to the DART network id you provided because the DART network id is already assigned to another Studio Company.
64018,You can't change DART network id associated with your company once it is assigned.
64019,You must specify a valid DFA Network ID when you enable Trafficking for a Company.
64020,The network ID is either not a valid DFA network id or the DFA network does not have appropriate rich media permissions.
64022,You must assign the 'Enable Rich Media' permission for the DFA network before proceeding.
64023,You must assign the 'Enable Rich Media for Flash-in-Flash' permission for the DFA network before proceeding.
64024,You must assign the 'Modify Character Encoding and Language' permission for the DFA network before proceeding.
64025,The DFA network permissions for your account are currently unavailable. Please try again or contact support.
64100,Required API campaign object is missing.
64101,Please enter a campaign name and resubmit.
64102,Campaign name is required.
64103,Campaign name can't exceed 256 characters.
64104,Campaign description can't exceed 1024 characters.
64105,Campaign must be associated with a valid company.
64106,Sorry. You don't have permission to create a campaign for this company.
64107,You can't delete campaigns from a company that isn't assigned to you.
64108,Campaign must be associated with valid client.
64109,Campaign name already exists.
64110,You don't have permission to view campaigns.
64111,You don't have permission to save or modify campaigns.
64112,You don't have permission to save a campaign in this company.
64113,You don't have permission to delete campaigns.
64114,You don't have permission to view a campaign for this company.
64115,You don't have permission to send a preview email.
64116,You don't have permission to view campaign assets for this company.
64117,You don't have permission to view preview emails for a campaign.
64118,You don't have permission to take QA ownership of a campaign.
64119,You must provide a QA approver email address to submit a creative to QA.
64120,The email address provided is not a valid email address
64121,The campaign could not be created because a corresponding trafficking campaign can't be created in DART. Please contact support.
64200,Required API user object is missing.
64201,Please enter a user name and resubmit.
64202,Please select a company.
64203,Please select a contact.
64204,Please select a user role.
64205,You can't assign a contact as the contact's company is different from the user's.
64206,Sorry. You don't have permission to access this company.
64207,User name already exists.
64208,You don't have permission to view this user.
64209,You don't have permission to save or modify this user.
64210,Inactive user.
64211,You don't have permission to delete this user.
64212,You don't have permission to view users.
64213,You don't have permission to view a user in this company.
64214,You don't have permission to save or modify users.
64215,You don't have permission to save a user to this company.
64216,You don't have permission to delete a user from this company.
64217,User with this ID doesn't exist.
64218,You don't have permission to impersonate another company.
64219,Invalid GAIA ID.
64220,GAIA ID can't be authenticated.
64221,Studio login ID provided in the hash code is invalid.
64222,The Google account you are trying to use is already used by another Studio user.
64223,"Access denied, only super users can view the page you are trying to access."
64224,The email address you are trying to use is already used by another Studio user.
64225,Thw GAIA configuration required when saving a new user is missing.
64226,"User can't be deleted because of an internal system error. Please try again later. If error persists, contact support."
64227,The DART user could not be created. Please try again or contact support.
64300,Required API client object is missing.
64301,Client with this ID doesn't exist.
64302,Client name is required.
64303,Client name can't exceed 64 characters.
64304,Client description can't exceed 1024 characters.
64305,Client must be associated with valid company.
64306,You don't have permission to save a client to this company.
64307,You don't have permission to delete a client from this company.
64308,Client name already exists.
64309,You don't have permission to save or modify clients.
64310,You don't have permission to view clients.
64311,You don't have permission to delete clients.
64312,You don't have permission to view a client in this company.
64313,You can't delete this client because it is associated with an advertiser.
64314,This client can't be enabled for Trafficking as the Company is not enabled for Trafficking.
64315,This client can't be enabled for trafficking because it already has campaigns attached to it. Please create a new client or use an existing one without campaigns.
64316,You can't disable trafficking for this client because it has one or more campaigns attached to it.
64317,You can't remove the client-advertiser association for trafficking-enabled clients.
64318,The client could not be created because the corresponding DART advertiser could not be created. Please contact support.
64400,Invalid API creative object.
64401,Please select a campaign.
64402,Please select a client.
64403,Please select a company.
64404,You entered a creative with invalid dimensions. Please correct and resubmit.
64405,Please select a creative type and resubmit.
64406,Only Expanding or Flash-In-Flash Expanding formats are valid for this creative.
64407,Expanding and Flash-In-Flash Expanding formats are invalid for this creative.
64408,Creative name missing. Please correct and resubmit.
64409,Creative name already exists.
64410,Multiple events share the same value for a detail with a uniqueness constraint.
64411,You can only associate a Flash asset with a display properties object.
64412,You can't associate a Flash asset that lacks an enabler with a display properties object.
64413,Dimensions of backup image should match dimensions of creative.
64414,Backup image file size can't exceed 300 KB.
64415,"Backup image must have .jpg, .gif, or .png extension."
64416,You can't exceed one backup image for this creative type.
64417,Backup image doesn't apply for this creative type.
64418,Event name is required.
64419,Event report label is required.
64420,You have more assets with enabler than are required. Please delete unnecessary assets.
64421,Auto-detected events are missing from this creative.
64422,StudioAssetEvents are missing from the Studio Asset.
64423,You can't manually associate a StudioAssetEvent with a StudioAsset.
64424,You can't change the Flash name for auto-detected events.
64425,You can't change auto-detected events to manually added events.
64426,You can't create new events with the auto-detected flag set.
64427,Event name must have English characters only.
64428,Event report label must have English characters only.
64429,Creative used to import events in invalid.
64430,You can't import events from the same creative.
64431,Invalid value for this event type.
64432,You don't have permission to view the creative.
64433,You don't have permission to view creatives.
64434,Creative with this ID doesn't exist.
64435,You don't have permission to save or modify creatives.
64436,You don't have permission to save a creative in this company.
64437,You don't have permission to delete creatives.
64438,You do not have permission to delete creatives for this company.
64439,You do not have permission to view creatives for this company.
64440,Request for creatives is not authenticated. You must supply a campaign trafficking code.
64441,Video component(s) has no name or a duplicate name. Please correct and try again.
64442,You don't have permission to enter a QA note. Requires permission to approve the creative.
64443,You don't have permission to set the creative to this status.
64444,You can't set the creative to this status.
64445,"The dynamic creative contains a missing or invalid Profile ID, the ID must be 22 characters in length."
64446,"The dynamic creative contains more than one distinct Profile ID, ensure Profile IDs are the same in all assets."
64447,Pushdown may only be enabled for creatives that expand down.
64448,The RMDA profile ID associated with the creative cannot be altered.
64449,The required creative id parameter is missing or invalid.
64450,The required manifest server parameter is missing or invalid.
64451,One or more supplied parameters are invalid.
64453,You can no longer access this updated creative because its status was changed in DoubleClick Studio. The creative must be resubmitted from DoubleClick Studio before you can proceed.
64454,Can't pull the requested creative.
64455,Your creative includes the Dynamic Enabler component and can't be trafficked to the publishing environment. Please contact support.
64500,You're trying to upload an invalid zip file.
64501,You're trying to upload an invalid asset type.
64502,You're trying to upload an invalid asset request.
64503,Assets upload request is missing required Studio creative object.
64504,You didn't include any assets in the upload request.
64505,You can't upload assets of 0 file size.
64506,You can't submit duplicate files in an asset upload or copy request.
64507,Error parsing SWF file.
64508,Invalid asset duplicate request.
64509,Asset duplicate request is missing required creative object.
64510,Asset IDs missing from the asset duplication request.
64511,Asset delete request is missing required Studio creative object.
64512,Invalid asset delete request.
64513,Asset delete request is missing asset file name.
64514,No matching asset found in the creative.
64515,You can't duplicate assets in same creative.
64516,Invalid asset IDs passed in the asset duplication request.
64517,Creative's asset display properties don't match creative type.
64518,Creative's asset display properties don't match number of assets in the creative.
64519,Asset ID not found.
64520,You can't duplicate the asset as a file already exists with the same name.
64521,You can't have multiple assets with the same name in a duplicate assets request.
64522,"Invalid duration value for one or more assets. Must be auto, none, or a value greater than or equal to zero."
64523,Invalid start time for one or more assets. Must be none or a value greater than or equal to zero.
64524,You can't exceed one Flash asset with enabler for this creative type.
64525,You can't exceed two Flash assets with enablers for this creative type.
64526,You can't exceed 100 custom events per creative.
64527,Studio creative package size can't exceed 30 MB.
64528,Size of flash asset with enabler can't exceed 300 KB.
64529,You can't modify the collapsed dimensions of an expanding asset.
64530,Exit event URL must start with http:// or https://
64531,StudioAssetComponents missing from StudioFlashAsset.
64532,You can't add StudioAssetComponents to the existing StudioFlashAsset.
64533,You can't modify the component version in the existing StudioAssetComponent.
64534,You can't exceed one flash asset with expanding component.
64535,You can't publish a creative without an associated advertiser.
64536,An error occurred while publishing a creative to its advertising platform.
64537,Dimensions of main asset should match creative dimensions.
64538,Dimensions of at least one main asset should match creative dimensions.
64540,There is a maximum of one Enabler component per SWF.
64541,Publish versions must be the same across all SWFs.
64542,ActionScript language versions must be the same across all SWFs.
64543,Not a valid creative format type for a creative with f2f enabler
64544,Only one type of enabler allowed per creative
64545,"One or more assets are using old, no longer supported versions of the Studio components. Please update to the latest release."
64546,File name can only contain alphanumeric characters (not case-sensitive) and . = - or _. Spaces not allowed.
64600,Invalid user role.
64601,User role missing.
64602,Company missing for user role.
64603,One or more users assigned to user role are invalid. Please correct and resubmit.
64604,User Role doesn't exist.
64605,You can't delete a user role that's assigned to one or more users. Unassign all users from user role and resubmit.
64606,Inactive user role.
64607,You don't have permission to save or modify roles.
64608,You don't have permission to save role due to invalid company or permission restrictions.
64609,You don't have permission to delete roles.
64610,You don't have permission to delete role due to invalid company or permission restrictions.
64611,You don't have permission to view this role.
64612,You don't have permission to view roles.
64700,Invalid External Preview request. Please correct and resubmit.
64701,Campaign ID in External Preview email request doesn't match campaign ID of creative. Please correct and resubmit.
64702,No creatives selected for External Preview email request.
64703,URL has expired. Please generate a new URL for the campaign.
64704,Invalid campaign code.
64800,Association can't be processed. Studio client doesn't exist.
64801,No association exists for client ID or advertiser ID.
64802,Client is already associated with an advertiser.
64803,Invalid trafficking code.
64804,Expired trafficking code.
64805,The creative cannot be pushed as the client association to advertiser does not exist.
64806,An association can't be made because the advertiser is already associated with a trafficking-enabled client.
64900,You entered invalid search text. Please try again using different terms.
64901,You are trying to associate sites with an invalid company in DoubleClick Studio. Please try again with a valid company.
64902,The site is already associated with this campaign.
64903,An application error occurred. Please try again.
64904,An application error occurred. Please try again.
64905,Invalid request parameter.
64906,An application error occurred. Please try again.
64907,You can't delete sites from a company that's assigned to a campaign.
64908,The site directory records could not be retrieved. Please try again or contact support.
64909,Please remove duplicate assignments by unchecking any creatives that were linked to a site more than once.
64910,Tags are not available for these creative assignments.
64911,You have entered an invalid DFA network ID. Please check your records and try again.
64912,The site type for this assignment is invalid or doesn't map to a DART site type.
64913,The campaign for this assignment is invalid because the creative doesn't belong to the campaign.
64914,The campaign for this assignment is invalid because it isn't mapped to a DART campaign.
64915,You entered an invalid network ID. Please check the number and try again.
64916,An error occurred while the creative was being trafficked to DFA. Please try again or contact support.
64917,You have chosen an invalid site assignment.
64918,Cannot delete as this creative is a part of an Creative assignment.
64919,Cannot update/edit this creative as its trafficking is incomplete. Please try again after some time.
64920,One or more of your sites can not be deleted as they are part of Creative assignments.
64921,The Studio creative is not trafficked. The correspoding dart creative is not available.
64922,"An error occurred while the creative was being deleted. Please try again later. If the problem persists, contact your DoubleClick account representative."
64923,You can't delete this campaign because one or more sites are assigned to it.
65000,Invalid Widget Tag Request.
65001,Error while creating Tag URL for iGoogle.
65002,Error while creating Tag URL for Page Flakes.
67000,The InStream feature has not been enabled for this network. Contact Customer Support or go to http://help.doubleclick.com to log a support case.
67025,Advertiser not found.
67026,Advertiser is missing in Creative.
67100,Creative version is invalid.
67101,Survey URL can't exceed 1024 characters.
67102,Survey URL must start with http:// or https://.
67103,Third-party midpoint URL can't exceed 1024 characters.
67104,Third-party midpoint URL must start with http:// or https://.
67105,Third-party impression URL must start with http:// or https://.
67106,Third-party impression URL can't exceed 1024 characters.
67107,Third-party complete URL must start with http:// or https://.
67108,Third-party complete URL can't exceed 1024 characters.
67109,Third-party click-tracking URL must start with http:// or https://.
67110,Third-party click-tracking URL can't exceed 1024 characters.
67111,Third-party start URL must start with http:// or https://.
67112,Third-party start URL can't exceed 1024 characters.
67113,Third-party first quartile URL must start with http:// or https://.
67114,Third-party first quartile URL can't exceed 1024 characters.
67115,Third-party third quartile URL must start with http:// or https://.
67116,Third-party third quartile URL can't exceed 1024 characters.
67117,Third-party mute URL must start with http:// or https://.
67118,Third-party mute URL can't exceed 1024 characters.
67119,Third-party pause URL must start with http:// or https://.
67120,Third-party pause URL can't exceed 1024 characters.
67121,Third-party replay URL must start with http:// or https://.
67122,Third-party replay URL can't exceed 1024 characters.
67123,Third-party full-screen URL must start with http:// or https://.
67124,Third-party full-screen URL can't exceed 1024 characters.
67125,Third-party stop URL must start with http:// or https://.
67126,Third-party stop URL can't exceed 1024 characters.
67127,Description can't exceed 255 characters.
67128,Can't save creative without at least one media file.
67129,Creative version can't be incremented if previous version isn't saved.
67130,Creative duration unavailable. At least one valid video file with metadata must be uploaded to determine the video duration
67131,Invalid video asset found. The duration of the media file must be within one second of the duration of the creative.
67132,Ad ID can't exceed 15 characters.
67133,File with this name doesn't exist.
67134,Creative being assigned to ad isn't an In-Stream creative.
67135,Creative can't be assigned to an ad because creative and ad belong to different advertisers.
67136,Creative ID is invalid.
67137,Third-party custom click URL must start with http:// or https://.
67138,Third-party custom click URL can't exceed 1024 characters.
67139,Ad ID must be numeric.
67140,Can't save creative without at least one media file green-lighted.
67141,A companion ad can't contain both an ad tag URL and a relative asset path.
67142,A non-linear ad can't contain both an ad tag URL and a relative asset path.
67143,Companion click-through URL must start with http:// or https://.
67144,Companion click-through URL can't exceed 1024 characters.
67145,Non-linear click-through URL must start with http:// or https://.
67146,Non-linear click-through URL can't exceed 1024 characters.
67147,Companion ad tag URL must start with http:// or https://.
67148,Companion ad tag URL can't exceed 1024 characters.
67149,Non-linear ad tag URL must start with http:// or https://.
67150,Non-linear ad tag URL can't exceed 1024 characters.
67151,Companion ad tag URL must have size information.
67152,Non-linear ad tag URL must have size information.
67153,Companion ad tag URL provided must be a DoubleClick ad tag URL.
67154,Non-linear ad tag URL provided must be a DoubleClick ad tag URL.
67155,Expanded width and height must be specified for an expandable companion ad.
67156,Expanded width and height must be specified for an expandable non-linear ad.
67157,Can't enable lock aspect ratio. Non-linear ad isn't scalable.
67158,Companion ad alternate text can't exceed 255 characters.
67159,Non-linear ad alternate text can't exceed 255 characters.
67160,Companion ad width must be between 1 and 1500.
67161,Companion ad height must be between 1 and 1500.
67162,Non-linear ad width must be between 1 and 1500.
67163,Non-linear ad height must be between 1 and 1500.
67164,Expanded width of a companion ad can't be less than the collapsed width or greater than 1500.
67165,Expanded height of a companion ad can't be less than the collapsed height or greater than 1500.
67166,Expanded width of a non-linear ad can't be less than the collapsed width or greater than 1500.
67167,Expanded height of a non-linear ad can't be less than the collapsed height or greater than 1500.
67168,Creative is assigned to a default ad and can't be deleted. A default ad must have a creative.
67169,Creative can't be deleted because it's assigned to an active ad.
67170,Error encountered while creating copy of the creative. Please try again later.
67300,Upload request can't be null.
67301,Invalid image dimensions.
67302,Asset must be image or Flash type.
67303,Asset must be an FLV video file.
67304,Required metadata missing from header section of file.
67305,Can't upload because required parameter is missing.
67306,Required parameter(s) missing.
67500,Invalid preview request.
67501,Can't preview creative. No media file present.
67502,Can't preview creative. Specified media file not present.
70000,Internal error.
70001,Unknown error.
70002,Unable to invoke a method.
70003,You must specify a search criteria.
70004,Invalid search criteria.
70005,Workflow status required.
70006,Workflow status invalid.
70007,Advertiser category required.
70008,Advertiser category invalid.
70009,Global advertiser required.
70010,Global advertiser invalid.
70011,Website/Channel required.
70012,Website/Channel invalid.
70013,Content category required.
70014,Content category invalid.
70015,Contact required.
70016,Contact invalid.
70017,Bid rule required.
70018,Bid rule invalid.
70019,Rotation type required.
70020,Rotation type invalid.
70021,Assigned category does not belong to category type.
70022,Availability required.
70023,Availability invalid.
70024,Site maturity required.
70025,Site maturity invalid.
70026,Page position required.
70027,Page position invalid.
70028,DART advertiser required.
70029,DART advertiser invalid.
70030,Customer required.
70031,Customer invalid.
70032,You are not authorized to access this customer.
70033,Customer must be active.
70034,Customer cannot be changed.
70035,Contact type required
70036,Contact type invalid
70037,Frequency Type invalid
70038,Frequency Unit invalid
70039,eCPM method required.
70040,eCPM method invalid.
70041,Creative Content Type is required
70042,Creative Content Type could not be found
70043,Creative Format Type is required
70044,Creative Format Type could not be found
70045,Creative Maturity Level is required
70046,Creative Maturity Level could not be found
70047,Application required.
70048,Product Required
70049,Product Type invalid.
70100,You must be DCLK Admin to perform this action.
70101,You must be Admin to perform this action.
70102,You must be Seller to perform this action.
70103,You must be Buyer to perform this action.
70104,Invalid contact for customer was specified.
71000,Customer name must be unique.
71001,You cannot delete an active customer.
71002,Customer name must be 1-256 characters long.
71004,You cannnot specify category types for customer.
71005,Customer does not have correct role associated with it.
71008,Customer must have buyer role in order to have buyer category types.
71009,Customer must have seller role in order to have seller category types.
71010,Customer must have 5 buyer category types
71011,Customer must have 5 seller category types
71013,Customer can have only one category type mapped to publisher.
71014,Customer can have only one category type mapped to site.
71015,Customer with buyer role must have one buyer category type mapped to Dart advertiser.
71016,Customer with seller role must have one house bid per network size.
71017,Customer with seller role can have only one house creative per network size.
71018,Customer with seller role must have house advertiser.
71019,You cannot remove from customer any website/channel that is used by AdSlot.
71020,You cannot remove from customer any advertiser that is used by Bid.
72000,Create category types is prohibited.
72001,Missing Category Type.
72002,Delete category type is prohibited
72003,You can specify only one category type for targeting default.
72004,You can specify only one category type for frequency cap default.
72005,Category type must be either for seller or buyer.
72006,Category type must have unique name.
72007,You can specify only one category type for budget default.
72008,Category type name must be 1-256 characters long.
72009,Category type cannot be both publisher and site.
72010,"Cannot assign, unassign or make optional a system-required attribute."
72011,There are missing attributes in attribute assignment for category type.
72012,You can specify only one category type for billing invoice.
73000,Placement does not exist.
73001,You cannot change placement's end date once it has expired.
73004,Unable to find given placement.
73005,Expect one default bid for each default creative.
73006,Placement's customer must match its category's customer.
73007,You cannot save a global default placement that is not marked as global default.
73008,Placement can be only assigned to category in active category type.
73009,Retrieving the default placement by its ID is prohibited.
73010,Saving the default placement as a regular placement is prohibited.
73011,Deleting the global default placement is prohibited.
73012,You cannot change a default placement to a non-default placement or vice versa.
73013,A customer can only have one global default placement.
73014,A category default placement cannot be retrieved for a category type that does not have targeting enabled.
73015,"You must specify either test end date or test budget. When specified, test budget must be between 1 and 4294967 cents."
73016,You cannot save the category default placement that is not marked as category default.
73017,Creative size must match placement size.
73018,You must specify a valid content category for placement.
73019,Placement adjustment must be between 0.01% and 1000%.
73020,Placement and category advertiser must match.
73021,Placement and creatives advertiser must match.
73022,The frequency value of the pacing limit is invalid.
73023,The time value of the pacing limit is invalid.
73024,Placement min bid must be between 0 and 1000000 cents.
73025,"You must specify either initial bid or initial click rate (but not both). If initial bid is specified, the initial bid must be between 1 and 1000000 cents. If initial click rate is specified it must be greater than 0."
73026,Placement value of click must be between 1 and 1000000 cents.
73027,You are not allowed to change Advertiser for placement.
73028,You must specify a valid contact for placement.
73029,The creative to be unassigned from this placement was never assigned to this placement.
73030,This creative to placement assignment does not exist.
73031,This creative is not assigned to this placement.
73032,Placement budget must be between 1 and 4294967295 cents.
73033,Placement max bid must be between 1 and 1000000 cents.
73034,Placement min bid must be less than or equal to the max bid.
73035,You are not allowed to specify a limit on both budget & impression count for a placement.
73036,The frequency cap values for a placement must match
73037,You cannot explicitly change a house creative to a house bid assignment.
73038,You cannot explicitly update a house bid.
73039,You cannot explicitly delete a house bid.
73040,"When targeting anonymous publishers, you must select at least ten."
73041,Error getting publisher count.
73042,Percentage of excluded publishers is too high.
73043,A category can only have one default placement.
73044,Deleting the category default placement is prohibited.
73045,Initial Click Rate percentage must be a valid real number greater than 0 and less than or equal to 100.
73046,Initial Conversion Rate percentage must be a valid real number greater than 0 and less than or equal to 100.
73047,Initial bid must be greater than or equal to min bid and less than or equal to max bid
73048,You cannot deactivate default placement.
73049,The placement's conversion value must be between 1 and 1000000 cents.
73050,The placement's initial conversion rate must be between 0.00000001% and 100.0%
73051,The placement's initial conversion value must be between 1 and 1000000 cents.
73052,No bid rule specified for placement.
73053,Only Sales Activities can be used as conversion values. Conversion values from activities that are not Sales Activities are not valid.
73054,Spotlight activity ID is invalid.
73055,Placement using CPA bid rule has null activity.
73056,Placement's test end date must be before the placement's actual end date.
73057,Placement's test budget must be less than the placement's actual budget.
73058,Placements using an impression goal bid rule must have a minimum impression goal of 1 impression.
73059,Could not connect to Bid Rule Engine to get bid price.
73060,Error in communicating with Bid Rule Engine to get bid price.
74003,You must specify a valid creative dimension banning for ad slot.
74004,AdSlot name must be between 1-256 characters.
74005,AdSlot min CPM must be between 1 and 4294967296 cents.
74006,An ad slot key-value cannot be more than 4000 characters.
74007,AdSlot's start date must precede its end date.
74008,You must specify a valid creative dimension banning level for ad slot.
74009,You can only assign a single creative dimension banning level to ad slot.
74010,You must specify a creative dimension banning level for ad slot.
74012,Unable to find given ad slot.
74013,Ad slot's customer must match its category's customer.
74014,You cannot save the global default ad slot that is not marked as global default.
74015,Ad slot can be only assigned to category in active category type.
74016,AdSlot external ID cannot be more than 256 characters.
74017,AdSlot does not exist.
74018,You must specify valid availability for ad slot.
74019,A customer can only have one global default ad slot.
74020,Changing the default status of an ad slot is prohibited.
74021,Retrieving a default ad slot by its ID is prohibited.
74022,Saving a default ad slot as a regular ad slot is prohibited.
74023,Deleting the global default ad slot is prohibited.
74026,You must specify a valid seller category for ad slot.
74027,You must specify at least one buyer for ad slot with private availability.
74028,You cannot specify a buyer for an ad slot with non-private availability
74029,You cannot save the category default ad slot that is not marked as category default.
74030,A category can only have one default ad slot.
74031,A category default ad slot cannot be retrieved for a category type that does not have targeting enabled.
74032,Invalid buyer for ad slot.
74033,Revenue share must be between 0 and 100% (inclusive).
74034,Deleting the category default ad slot is prohibited.
74036,Creative Maturity Level is required
74037,"To save a Category Default, the CategoryType must have targeting enabled."
74038,You cannot deactivate default ad slot.
75000,Creative does not exist.
75001,Creative size does not match placement size.
75002,Creative size ID is duplicated in database.
75003,You cannot assign a creative with missing creative dimension banning level to a placement.
75009,Unsupported creative dimension requested.
75010,Cannot upload file without a file extension
75011,File extension is invalid
75012,File cannot be larger than 1 Megabyte
75013,The following illegal Javascript was found in the rich media code posted: {0}
75800,Specified creatives are invalid or do not exist.
75801,Could not get user.
76000,The user profile must have at least one role.
76001,A user role must be included.
76002,You can only map Adx user to DFA or DFP User.
76003,You must specify dart username when mapping Adx user to DFA or DFP.
76004,Profile name must be unique.
76005,Unable to verify dart username.
77002,Category name must be between 1-256 characters.
77003,Category alternate ID cannot be more than 256 characters.
77004,Category url cannot be more than 256 characters.
77005,Category description cannot be more than 256 characters.
77006,You must have access to the category type for the category.
77007,You must specify a category type for category.
77008,Category must have unique name.
77010,Unable to find given category.
77011,You must specify category type for the category.
77012,The attribute is not associated with the corresponding category type.
77018,There can be only one order for a DART advertiser.
77019,You must enter data for user-defined attributes that are no more than 4000 characters.
77020,You must enter data for all required attributes.
77021,You must enter numerical data.
77022,You must enter data in the dd-mm-yyyy and hh:mm:ss formats.
77023,You can only enter a single selection for single-select attribute
77024,You must specify category attribute.
78000,Contact first name must be between 1-40 characters
78001,Contact state cannot have more than 64 characters
78002,Contact city cannot have more than 255 characters
78003,Contact address1 cannot have more than 255 characters
78004,Contact address2 cannot have more than 255 characters
78005,Contact postal code cannot have more than 45 characters
78006,Contact phone cannot have more than 40 characters
78007,Contact cell cannot have more than 40 characters
78008,Contact fax cannot have more than 64 characters
78009,Contact Email must be between 1-64 characters
78015,Contact last name must be between 1-50 characters
78016,Network of contact must match network of customer
78017,Contact department name cannot have more than 255 characters.
78018,Contact company name cannot have more than 255 characters.
78019,Contact title cannot have more than 64 characters.
78020,Contact phone cannot have more than 40 characters
78021,Contact pager cannot have more than 64 characters.
78022,Contact comments cannot have more than 1000 characters.
78023,You cannot delete contacts that are assigned to ad slot.
78024,You cannot delete contacts that are assigned to placement.
78025,You cannot delete contacts that are assigned to category.
78026,Invalid contact specified.
78027,Address1 must be specified for billing contacts.
78028,City must be specified for billing contacts.
78029,State must be specified for billing contacts.
78030,Postal code must be specified for billing contacts.
78031,Country must be specified for billing contacts.
78032,Cannot delete billing contact for customer. Please change billing contact for customer before deleting this contact
78033,Invalid postal code for contact.
79000,Spotlight configuration id required.
79001,Spotlight configuration ID is invalid.
79002,Customer ID for Spotlight search criteria required.
79003,The Spotlight search criteria is invalid. Spotlight search criteria must not be empty and requires a customer ID.
79100,Website/Channel name must be between 1-255 characters.
79101,Website/Channel name must be unique.
79102,Website/Channel url must be between 1-255 characters.
79103,Website/Channel url is invalid.
79104,Website/Channel url must be unique.
88999,Placeholder
89999,Placeholder
91000,Advertiser name already exists.
91001,Invalid URL.
91002,Invalid email address.
91003,Advertiser name cannot be null or empty.
91004,Advertiser cannot be deleted because it has campaigns associated with it.
91005,The advertiser cannot be deleted because its Spotlight configuration is being used by another advertiser.
91006,Invalid advertiser group name.
91007,Advertiser group name already exists.
91008,Cannot delete advertiser group because advertisers are assigned to this group.
91009,Invalid advertiser group assigned to advertiser.
91010,Invalid network has been specified for the advertiser.
91011,Invalid advertiser status.
91012,Invalid advertiser.
91013,You don't have access to the subaccount specified for the advertiser.
91014,Advertiser cannot be deleted as there exists an association with Studio Client
91015,Advertiser name can't contain tab spaces.
91046,The advanced report selected for the advertiser is not enabled for the network.
91047,Cannot change advertiser group
91048,Country name may not exceed 32 characters
91049,Telephone number may not exceed 32 characters
91050,Fax number may not exceed 32 characters
91051,Contact person name may not exceed 32 characters
91052,Website URL may not exceed 96 characters
91053,Billing Address 1 may not exceed 64 characters
91054,Billing Address 2 may not exceed 64 characters
91055,Billing City Name may not exceed 64 characters
91056,Billing State Name may not exceed 32 characters
91057,Billing Postal Code may not exceed 10 characters
91058,Billing Country Name may not exceed 32 characters
91059,Terms description may not exceed 100 characters
91060,Production and Trafficking description may not exceed 255 characters
91061,Email may not exceed 64 characters
91062,Address 1 may not exceed 64 characters
91063,Address 2 may not exceed 64 characters
91064,City Name may not exceed 32 characters
91065,State Name may not exceed 100 characters
91066,Postal Code may not exceed 12 characters
91067,Invalid telephone.
91068,The advertiser could not be found.
91070,Cannot unassign Advanced Report enabled at network
91071,The number of activities to track cannot exceed the limit set for the network.
91072,Activity exposure days cannot exceed clicks or impressions lookback value.
91073,Activity exposure level cannot exceed network limit.
91074,Exposure-to-conversion not enabled for advertiser.
91075,A Spotlight configuration cannot be shared with an advertiser that is already sharing Spotlight configurations with another advertiser.
91076,The Spotlight configuration cannot be shared. It is already used by another advertiser.
91077,The activity assigned for advanced reports cannot be deleted.
91078,This activity is assigned to a placement with a CPA cost type. It cannot be deleted.
91079,Number of exposure activities exceed the limit specified at the configuration level.
91080,Activity exposure days cannot be greater than 30.
91081,Spotlight activities can only be deleted by a super user.
91082,The site specified for the publisher tag is not valid.
91083,The advertiser can't share the spotlight configuration of another advertiser because this advertiser already contains some activity groups or activities.
91084,Activity exposure level cannot be 0.
91085,Activity exposure days cannot be 0 or less than 0.
91087,Search Criteria results exceed allowed download limit of 300 tags.
91088,Spotlight activity group can be deleted only by super user.
91089,The Spotlight activity group can't be deleted because advanced reports are being generated for at least one activity within the group. Please check the campaign properties for each of the advertiser's campaigns and remove any Spotlight activities from the 'Advanced Reports on Spotlight Activities' section.
91090,"The Spotlight activity group can't be deleted because at least one activity within the group is being used as the activity type for a placement that uses the CPA (cost per activity) pricing model. To delete the group, first remove the activities from all placements."
92000,Campaign name cannot be empty.
92001,Campaign name may not exceed 255 characters.
92003,Campaign comments may not exceed 255 characters.
92004,The campaign end date must be after the start date.
